industry1,quarter,resignation_rate
construction,1998-Q1,2.3
construction,1998-Q2,2.4000000000000004
construction,1998-Q3,1.95
construction,1998-Q4,2.125
construction,1999-Q1,2.05
construction,1999-Q2,2.275
construction,1999-Q3,2.2750000000000004
construction,1999-Q4,1.9500000000000002
construction,2000-Q1,2.225
construction,2000-Q2,2.525
construction,2000-Q3,2.3
construction,2000-Q4,2.2
construction,2001-Q1,2.625
construction,2001-Q2,2.4
construction,2001-Q3,2.4
construction,2001-Q4,2.075
construction,2002-Q1,2.15
construction,2002-Q2,2.25
construction,2002-Q3,2.15
construction,2002-Q4,2.375
construction,2003-Q1,2.2750000000000004
construction,2003-Q2,2.525
construction,2003-Q3,1.9
construction,2003-Q4,1.625
construction,2004-Q1,2.15
construction,2004-Q2,2.05
construction,2004-Q3,1.9
construction,2004-Q4,1.575
construction,2005-Q1,1.875
construction,2005-Q2,1.975
construction,2005-Q3,1.85
construction,2005-Q4,1.775
construction,2006-Q1,2.05
construction,2006-Q2,1.975
construction,2006-Q3,1.875
construction,2006-Q4,1.625
construction,2007-Q1,1.925
construction,2007-Q2,2.0
construction,2007-Q3,2.0
construction,2007-Q4,1.7
construction,2008-Q1,2.075
construction,2008-Q2,2.15
construction,2008-Q3,1.9500000000000002
construction,2008-Q4,1.575
construction,2009-Q1,2.025
construction,2009-Q2,1.825
construction,2009-Q3,1.725
construction,2009-Q4,1.65
construction,2010-Q1,1.75
construction,2010-Q2,2.15
construction,2010-Q3,1.9500000000000002
construction,2010-Q4,1.6
construction,2011-Q1,1.7
construction,2011-Q2,2.075
construction,2011-Q3,2.05
construction,2011-Q4,1.65
construction,2012-Q1,2.025
construction,2012-Q2,2.25
construction,2012-Q3,1.975
construction,2012-Q4,1.825
construction,2013-Q1,2.25
construction,2013-Q2,2.175
construction,2013-Q3,1.85
construction,2013-Q4,1.825
construction,2014-Q1,2.15
construction,2014-Q2,2.275
construction,2014-Q3,1.95
construction,2014-Q4,1.7
construction,2015-Q1,1.925
construction,2015-Q2,2.25
construction,2015-Q3,1.75
construction,2015-Q4,1.625
construction,2016-Q1,1.6
construction,2016-Q2,1.75
construction,2016-Q3,1.6
construction,2016-Q4,1.575
construction,2017-Q1,1.65
construction,2017-Q2,1.975
construction,2017-Q3,1.675
construction,2017-Q4,1.75
construction,2018-Q1,1.675
construction,2018-Q2,2.075
construction,2018-Q3,1.65
construction,2018-Q4,1.775
construction,2019-Q1,2.125
construction,2019-Q2,2.075
construction,2019-Q3,1.8
construction,2019-Q4,1.325
construction,2020-Q1,1.65
construction,2020-Q2,0.8250000000000001
construction,2020-Q3,1.5
construction,2020-Q4,1.475
construction,2021-Q1,1.275
construction,2021-Q2,1.5
construction,2021-Q3,1.45
construction,2021-Q4,1.25
construction,2022-Q1,1.275
construction,2022-Q2,1.45
construction,2022-Q3,1.3
construction,2022-Q4,1.225
construction,2023-Q1,1.2
manufacturing,1998-Q1,2.4770833333333333
manufacturing,1998-Q2,2.0479166666666666
manufacturing,1998-Q3,1.6187500000000001
manufacturing,1998-Q4,1.2020833333333334
manufacturing,1999-Q1,1.575
manufacturing,1999-Q2,1.9791666666666667
manufacturing,1999-Q3,2.0395833333333333
manufacturing,1999-Q4,1.6125
manufacturing,2000-Q1,2.463636363636364
manufacturing,2000-Q2,2.5431818181818184
manufacturing,2000-Q3,2.1977272727272728
manufacturing,2000-Q4,1.6022727272727273
manufacturing,2001-Q1,2.497727272727273
manufacturing,2001-Q2,1.9931818181818182
manufacturing,2001-Q3,1.5954545454545455
manufacturing,2001-Q4,1.1409090909090909
manufacturing,2002-Q1,1.4659090909090908
manufacturing,2002-Q2,1.8795454545454546
manufacturing,2002-Q3,1.7272727272727273
manufacturing,2002-Q4,1.3181818181818181
