industry1,quarter,employment_change
construction,1991-Q1,4.9
construction,1991-Q2,6.3
construction,1991-Q3,7.4
construction,1991-Q4,-0.9
construction,1992-Q1,-1.2
construction,1992-Q2,3.5
construction,1992-Q3,5.0
construction,1992-Q4,4.0
construction,1993-Q1,5.8
construction,1993-Q2,4.6
construction,1993-Q3,9.5
construction,1993-Q4,6.5
construction,1994-Q1,0.8
construction,1994-Q2,2.3
construction,1994-Q3,4.7
construction,1994-Q4,5.3
construction,1995-Q1,2.5
construction,1995-Q2,7.2
construction,1995-Q3,12.4
construction,1995-Q4,18.4
construction,1996-Q1,12.0
construction,1996-Q2,12.5
construction,1996-Q3,12.6
construction,1996-Q4,15.8
construction,1997-Q1,10.7
construction,1997-Q2,12.5
construction,1997-Q3,16.2
construction,1997-Q4,6.4
construction,1998-Q1,7.1
construction,1998-Q2,0.9
construction,1998-Q3,-4.1
construction,1998-Q4,-8.6
construction,1999-Q1,-10.5
construction,1999-Q2,-3.3
construction,1999-Q3,-5.1
construction,1999-Q4,0.9
construction,2000-Q1,-2.2
construction,2000-Q2,2.3
construction,2000-Q3,1.7
construction,2000-Q4,-0.6
construction,2001-Q1,-2.2
construction,2001-Q2,-4.0
construction,2001-Q3,-4.9
construction,2001-Q4,-9.4
construction,2002-Q1,-9.8
construction,2002-Q2,-8.4
construction,2002-Q3,-7.8
construction,2002-Q4,-8.3
construction,2003-Q1,-6.5
construction,2003-Q2,-7.1
construction,2003-Q3,-1.9
construction,2003-Q4,-2.0
construction,2004-Q1,-3.6
construction,2004-Q2,-2.7
construction,2004-Q3,-1.7
construction,2004-Q4,-1.1
construction,2005-Q1,1.5
construction,2005-Q2,3.4
construction,2005-Q3,2.2
construction,2005-Q4,1.7
construction,2006-Q1,5.6
construction,2006-Q2,3.5
construction,2006-Q3,5.6
construction,2006-Q4,5.8
construction,2007-Q1,5.4
construction,2007-Q2,10.9
construction,2007-Q3,11.3
construction,2007-Q4,12.7
construction,2008-Q1,14.5
construction,2008-Q2,22.4
construction,2008-Q3,16.5
construction,2008-Q4,10.7
construction,2009-Q1,8.2
construction,2009-Q2,4.1
construction,2009-Q3,7.1
construction,2009-Q4,4.7
construction,2010-Q1,-2.6
construction,2010-Q2,1.6
construction,2010-Q3,0.3
construction,2010-Q4,1.3
construction,2011-Q1,2.4
construction,2011-Q2,4.8
construction,2011-Q3,6.5
construction,2011-Q4,8.2
construction,2012-Q1,9.9
construction,2012-Q2,9.7
construction,2012-Q3,9.8
construction,2012-Q4,11.0
construction,2013-Q1,9.7
construction,2013-Q2,10.6
construction,2013-Q3,10.7
construction,2013-Q4,7.6
construction,2014-Q1,6.3
construction,2014-Q2,3.3
construction,2014-Q3,3.6
construction,2014-Q4,1.5
construction,2015-Q1,-2.1
construction,2015-Q2,4.6
construction,2015-Q3,3.5
construction,2015-Q4,1.3
construction,2016-Q1,2.7
construction,2016-Q2,-0.4
construction,2016-Q3,-5.4
construction,2016-Q4,-8.3
construction,2017-Q1,-13.7
construction,2017-Q2,-10.3
construction,2017-Q3,-9.5
construction,2017-Q4,-4.9
construction,2018-Q1,-5.6
construction,2018-Q2,-0.8
construction,2018-Q3,-0.3
construction,2018-Q4,-0.4
construction,2019-Q1,
construction,2019-Q2,2.7
construction,2019-Q3,5.4
construction,2019-Q4,4.2
construction,2020-Q1,-5.9
construction,2020-Q2,-13.5
construction,2020-Q3,-16.8
construction,2020-Q4,-15.6
construction,2021-Q1,0.6
construction,2021-Q2,-5.0
construction,2021-Q3,-6.6
construction,2021-Q4,15.5
construction,2022-Q1,21.9
construction,2022-Q2,25.2
construction,2022-Q3,30.2
