year,industry1,industry2,industry3,occupation1,job_vacancy,quarter
1998,total,total,total,total,18300,Q1
1998,total,total,total,"professional, managers, executive and technicians",4900,Q2
1998,total,total,total,"clerical, sales and services workers",6000,Q3
1998,total,total,total,"production and transport operators, cleaners and labourers",7400,Q4
1998,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",total,200,Q1
1998,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","professional, managers, executive and technicians",-,Q2
1998,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","clerical, sales and services workers",100,Q3
1998,manufacturing,"food, beverages and tobacco","food, beverages and tobacco","production and transport operators, cleaners and labourers",100,Q4
1998,manufacturing,textile and wearing apparel,textile and wearing apparel,total,400,Q1
1998,manufacturing,textile and wearing apparel,textile and wearing apparel,"professional, managers, executive and technicians",-,Q2
1998,manufacturing,textile and wearing apparel,textile and wearing apparel,"clerical, sales and services workers",-,Q3
1998,manufacturing,textile and wearing apparel,textile and wearing apparel,"production and transport operators, cleaners and labourers",400,Q4
1998,manufacturing,paper products and publishing,paper products and publishing,total,200,Q1
1998,manufacturing,paper products and publishing,paper products and publishing,"professional, managers, executive and technicians",-,Q2
1998,manufacturing,paper products and publishing,paper products and publishing,"clerical, sales and services workers",-,Q3
1998,manufacturing,paper products and publishing,paper products and publishing,"production and transport operators, cleaners and labourers",100,Q4
1998,manufacturing,petroleum and chemical products,petroleum and chemical products,total,200,Q1
1998,manufacturing,petroleum and chemical products,petroleum and chemical products,"professional, managers, executive and technicians",100,Q2
1998,manufacturing,petroleum and chemical products,petroleum and chemical products,"clerical, sales and services workers",-,Q3
1998,manufacturing,petroleum and chemical products,petroleum and chemical products,"production and transport operators, cleaners and labourers",100,Q4
1998,manufacturing,rubber and plastic products,rubber and plastic products,total,300,Q1
1998,manufacturing,rubber and plastic products,rubber and plastic products,"professional, managers, executive and technicians",-,Q2
1998,manufacturing,rubber and plastic products,rubber and plastic products,"clerical, sales and services workers",-,Q3
1998,manufacturing,rubber and plastic products,rubber and plastic products,"production and transport operators, cleaners and labourers",200,Q4
1998,manufacturing,fabricated metal products,fabricated metal products,total,400,Q1
1998,manufacturing,fabricated metal products,fabricated metal products,"professional, managers, executive and technicians",100,Q2
1998,manufacturing,fabricated metal products,fabricated metal products,"clerical, sales and services workers",-,Q3
1998,manufacturing,fabricated metal products,fabricated metal products,"production and transport operators, cleaners and labourers",300,Q4
1998,manufacturing,machinery and equipment,machinery and equipment,total,600,Q1
1998,manufacturing,machinery and equipment,machinery and equipment,"professional, managers, executive and technicians",100,Q2
1998,manufacturing,machinery and equipment,machinery and equipment,"clerical, sales and services workers",-,Q3
1998,manufacturing,machinery and equipment,machinery and equipment,"production and transport operators, cleaners and labourers",500,Q4
1998,manufacturing,electrical products,electrical products,total,100,Q1
1998,manufacturing,electrical products,electrical products,"professional, managers, executive and technicians",-,Q2
1998,manufacturing,electrical products,electrical products,"clerical, sales and services workers",-,Q3
1998,manufacturing,electrical products,electrical products,"production and transport operators, cleaners and labourers",-,Q4
1998,manufacturing,electronic products,electronic products,total,1600,Q1
1998,manufacturing,electronic products,electronic products,"professional, managers, executive and technicians",600,Q2
1998,manufacturing,electronic products,electronic products,"clerical, sales and services workers",100,Q3
1998,manufacturing,electronic products,electronic products,"production and transport operators, cleaners and labourers",900,Q4
1998,manufacturing,medical and precision instruments,medical and precision instruments,total,100,Q1
1998,manufacturing,medical and precision instruments,medical and precision instruments,"professional, managers, executive and technicians",100,Q2
1998,manufacturing,medical and precision instruments,medical and precision instruments,"clerical, sales and services workers",-,Q3
1998,manufacturing,medical and precision instruments,medical and precision instruments,"production and transport operators, cleaners and labourers",-,Q4
1998,manufacturing,transport equipment,transport equipment,total,900,Q1
1998,manufacturing,transport equipment,transport equipment,"professional, managers, executive and technicians",200,Q2
1998,manufacturing,transport equipment,transport equipment,"clerical, sales and services workers",100,Q3
1998,manufacturing,transport equipment,transport equipment,"production and transport operators, cleaners and labourers",700,Q4
1998,manufacturing,other manufacturing industries,other manufacturing industries,total,100,Q1
1998,manufacturing,other manufacturing industries,other manufacturing industries,"professional, managers, executive and technicians",-,Q2
1998,manufacturing,other manufacturing industries,other manufacturing industries,"clerical, sales and services workers",-,Q3
1998,manufacturing,other manufacturing industries,other manufacturing industries,"production and transport operators, cleaners and labourers",100,Q4
1998,construction,construction,construction,total,2700,Q1
1998,construction,construction,construction,"professional, managers, executive and technicians",200,Q2
1998,construction,construction,construction,"clerical, sales and services workers",100,Q3
1998,construction,construction,construction,"production and transport operators, cleaners and labourers",2300,Q4
1998,services,wholesale and retail trade,wholesale trade,total,1000,Q1
1998,services,wholesale and retail trade,wholesale trade,"professional, managers, executive and technicians",400,Q2
1998,services,wholesale and retail trade,wholesale trade,"clerical, sales and services workers",300,Q3
1998,services,wholesale and retail trade,wholesale trade,"production and transport operators, cleaners and labourers",300,Q4
1998,services,wholesale and retail trade,retail trade,total,700,Q1
1998,services,wholesale and retail trade,retail trade,"professional, managers, executive and technicians",100,Q2
1998,services,wholesale and retail trade,retail trade,"clerical, sales and services workers",600,Q3
1998,services,wholesale and retail trade,retail trade,"production and transport operators, cleaners and labourers",100,Q4
1998,services,hotels and restaurants,hotels,total,1400,Q1
1998,services,hotels and restaurants,hotels,"professional, managers, executive and technicians",100,Q2
1998,services,hotels and restaurants,hotels,"clerical, sales and services workers",1100,Q3
1998,services,hotels and restaurants,hotels,"production and transport operators, cleaners and labourers",200,Q4
1998,services,hotels and restaurants,restaurants,total,600,Q1
1998,services,hotels and restaurants,restaurants,"professional, managers, executive and technicians",100,Q2
1998,services,hotels and restaurants,restaurants,"clerical, sales and services workers",500,Q3
1998,services,hotels and restaurants,restaurants,"production and transport operators, cleaners and labourers",-,Q4
1998,services,"transport, storage and communications","transport, storage and communications",total,2100,Q1
1998,services,"transport, storage and communications","transport, storage and communications","professional, managers, executive and technicians",500,Q2
1998,services,"transport, storage and communications","transport, storage and communications","clerical, sales and services workers",1100,Q3
1998,services,"transport, storage and communications","transport, storage and communications","production and transport operators, cleaners and labourers",500,Q4
1998,services,financial intermediation,financial institutions,total,1000,Q1
1998,services,financial intermediation,financial institutions,"professional, managers, executive and technicians",400,Q2
1998,services,financial intermediation,financial institutions,"clerical, sales and services workers",500,Q3
1998,services,financial intermediation,financial institutions,"production and transport operators, cleaners and labourers",100,Q4
1998,services,financial intermediation,insurance and pension funding,total,100,Q1
1998,services,financial intermediation,insurance and pension funding,"professional, managers, executive and technicians",100,Q2
1998,services,financial intermediation,insurance and pension funding,"clerical, sales and services workers",-,Q3
1998,services,financial intermediation,insurance and pension funding,"production and transport operators, cleaners and labourers",-,Q4
1998,services,business and real estate services,business and real estate services,total,1600,Q1
1998,services,business and real estate services,business and real estate services,"professional, managers, executive and technicians",700,Q2
1998,services,business and real estate services,business and real estate services,"clerical, sales and services workers",600,Q3
1998,services,business and real estate services,business and real estate services,"production and transport operators, cleaners and labourers",300,Q4
1998,services,"community, social and personal services","community, social and personal services",total,2000,Q1
1998,services,"community, social and personal services","community, social and personal services","professional, managers, executive and technicians",1000,Q2
1998,services,"community, social and personal services","community, social and personal services","clerical, sales and services workers",800,Q3
1998,services,"community, social and personal services","community, social and personal services","production and transport operators, cleaners and labourers",200,Q4
1998,others,others,others,total,100,Q1
1998,others,others,others,"professional, managers, executive and technicians",-,Q2
1998,others,others,others,"clerical, sales and services workers",-,Q3
1998,others,others,others,"production and transport operators, cleaners and labourers",-,Q4
1999,total,total,total,total,20800,Q1
1999,total,total,total,"professional, managers, executive and technicians",6900,Q2
1999,total,total,total,"clerical, sales and services workers",6400,Q3
