industry1,year_quarter,job_vacancy
construction,1998-Q1,2700.0
construction,1998-Q2,200.0
construction,1998-Q3,100.0
construction,1998-Q4,2300.0
construction,1999-Q1,1600.0
construction,1999-Q2,1900.0
construction,1999-Q3,200.0
construction,1999-Q4,100.0
construction,2000-Q1,1600.0
construction,2000-Q2,300.0
construction,2000-Q3,100.0
construction,2000-Q4,1200.0
construction,2001-Q1,900.0
construction,2001-Q2,100.0
construction,2001-Q3,100.0
construction,2001-Q4,700.0
construction,2002-Q1,500.0
construction,2002-Q2,700.0
construction,2002-Q3,100.0
construction,2002-Q4,
construction,2003-Q1,100.0
construction,2003-Q2,
construction,2003-Q3,400.0
construction,2003-Q4,600.0
construction,2004-Q1,600.0
construction,2004-Q2,200.0
construction,2004-Q3,
construction,2004-Q4,400.0
construction,2005-Q1,700.0
construction,2005-Q2,300.0
construction,2005-Q3,
construction,2005-Q4,400.0
construction,2006-Q1,1000.0
construction,2006-Q2,1600.0
construction,2006-Q3,500.0
construction,2006-Q4,100.0
construction,2007-Q1,1600.0
construction,2007-Q2,2400.0
construction,2007-Q3,600.0
construction,2007-Q4,200.0
construction,2008-Q1,3000.0
construction,2008-Q2,800.0
construction,2008-Q3,200.0
construction,2008-Q4,2000.0
construction,2009-Q1,1900.0
construction,2009-Q2,600.0
construction,2009-Q3,100.0
construction,2009-Q4,1200.0
construction,2010-Q1,2700.0
construction,2010-Q2,700.0
construction,2010-Q3,200.0
construction,2010-Q4,1800.0
construction,2011-Q1,2800.0
construction,2011-Q2,3700.0
construction,2011-Q3,600.0
construction,2011-Q4,200.0
construction,2012-Q1,200.0
construction,2012-Q2,2500.0
construction,2012-Q3,3400.0
construction,2012-Q4,700.0
construction,2013-Q1,300.0
construction,2013-Q2,2500.0
construction,2013-Q3,3800.0
construction,2013-Q4,1000.0
construction,2014-Q1,200.0
construction,2014-Q2,2300.0
construction,2014-Q3,3600.0
construction,2014-Q4,1200.0
construction,2015-Q1,1800.0
construction,2015-Q2,2900.0
construction,2015-Q3,1000.0
construction,2015-Q4,200.0
construction,2016-Q1,700.0
construction,2016-Q2,200.0
construction,2016-Q3,1100.0
construction,2016-Q4,2000.0
construction,2017-Q1,1700.0
construction,2017-Q2,700.0
construction,2017-Q3,100.0
construction,2017-Q4,900.0
construction,2018-Q1,3000.0
construction,2018-Q2,800.0
construction,2018-Q3,200.0
construction,2018-Q4,2000.0
construction,2019-Q1,2300.0
construction,2019-Q2,800.0
construction,2019-Q3,200.0
